number,url,pdf_url,bibtex_url,author,issn,abstract,address,type,publisher,month,year,journal,title,entrytype,id,doi,keywords,pages,volume,chapter,pdf_name,has_pdf
498,https://timreview.ca/article/498,https://timreview.ca/sites/default/files/article_PDF/Justus_TIMReview_November2011.pdf,https://timreview.ca/article/export/bibtex/498,Chris Justus,1927-0321,"Most management teams in young technology companies are aware that their success may depend on strong relationships with external organizations. However, it may not be clear to them which types of relationships are most likely to impact their growth. This article describes the author\textquoterights recent research to examine the relationship between the number and diversity of business relationships and the revenue growth of young companies. By examining data collected from 80 technology firms, and the 1943 relationships they established over a two-year period, certain types of relationships were found to have measurable impacts on growth. The article focuses on the managerial implications of these findings, which include the importance of early funding, niche identification, and building relationships with large firms.",Ottawa,,Talent First Network,11/2011,2011,Technology Innovation Management Review,The Impact of External Relationships on the Growth of Young Technology Companies,article,498,http://doi.org/10.22215/timreview/498,"funding, networks, partnerships, relationships, startups, young companies",26-30,1,,Justus_TIMReview_November2011.pdf,True
500,https://timreview.ca/article/500,https://timreview.ca/sites/default/files/article_PDF/Editorial_TIMReview_December2011_0.pdf,https://timreview.ca/article/export/bibtex/500,Chris McPhee and Peter Carbone,1927-0321,,Ottawa,,Talent First Network,12/2011,2011,Technology Innovation Management Review,Editorial: Intellectual Property Rights (December 2011),article,500,http://doi.org/10.22215/timreview/500,"intellectual property, intellectual property rights, IP, IPR, patents",3-4,1,,Editorial_TIMReview_December2011_0.pdf,True
501,https://timreview.ca/article/501,https://timreview.ca/sites/default/files/article_PDF/deWilton_TIMReview_December2011_0.pdf,https://timreview.ca/article/export/bibtex/501,Angela de Wilton,1927-0321,"In the last year, news headlines have highlighted record patent infringement settlements, multibillion dollar auctions of large corporate patent portfolios, and ongoing patent battles between key technology industry players. Despite this acknowledgment of the significant value of patents for large corporations, many small technology companies are understandably more focused on the near-term costs of obtaining a patent rather than future value. Costs may seem prohibitive to an early stage technology startup. Some software startups question whether patents are relevant to their business. 

In practice, effective intellectual property (IP) strategy and management is dependent on many factors, such as technology or industry sector, size and maturity of the business, technology lifecycle, and the business and market environment. IP strategy must be aligned to business strategy from the outset. By considering IP in the broader context of the overall business plan and the competitive environment, opportunities for generating increased return on R&D investment and added business value through patents or other forms of IP can be recognized early on. This approach ensures that a decision about whether or not to patent is driven by business reasons rather than budget constraints.

This article examines the costs and benefits of patents from the perspective of early-stage technology startups and growing businesses, and it provides some general guidance on best practices for developing an IP and patent activity plan and for building a patent portfolio that appropriately supports business objectives.",Ottawa,,Talent First Network,12/2011,2011,Technology Innovation Management Review,Patent Value: A Business Perspective for Technology Startups,article,501,http://doi.org/10.22215/timreview/501,"business value, intellectual property, patenting costs, patents, strategy",5-11,1,,deWilton_TIMReview_December2011_0.pdf,True
502,https://timreview.ca/article/502,https://timreview.ca/sites/default/files/article_PDF/CohendetPenin_TIMReview_December2011_0.pdf,https://timreview.ca/article/export/bibtex/502,Patrick Cohendet and Julien Pénin,1927-0321,"Traditional patent theory emphasizes the importance of patents for excluding imitators. This view is far too restrictive and is at odds with many empirical and theoretical works. Therefore, we propose an analysis of patent management that considers the properties of knowledge-based economies explicitly. Patents are thus shown to be critical instruments for coordinating innovative activities between firms. They not only exclude potential infringers, but also “include” all the heterogeneous stakeholders of the innovation process. Patents facilitate coordination via two mechanisms: they encourage the emergence of markets for technology (market coordination) and they play an important role in formal and informal inter-firm collaboration (non-market coordination). We also link firms\textquoteright patenting strategy with the characteristics of the technological regime of their sector.",Ottawa,,Talent First Network,12/2011,2011,Technology Innovation Management Review,Patents to Exclude vs. Include: Rethinking the Management of Intellectual Property Rights in a Knowledge-Based Economy,article,502,http://doi.org/10.22215/timreview/502,"knowledge-based economy, markets for technology, Open innovation, patents, R&D collaboration",12-17,1,,CohendetPenin_TIMReview_December2011_0.pdf,True
503,https://timreview.ca/article/503,https://timreview.ca/sites/default/files/article_PDF/Goyal_TIMReview_December2011_1.pdf,https://timreview.ca/article/export/bibtex/503,Monica Goyal,1927-0321,"Software patents for years have been used in the software industry to suppress innovation, kill competition, and generate undeserved royalties. This article considers whether software patents maintain the right “bargain between the inventor and the public” where, in exchange for disclosure of the invention to the public, the inventor receives a limited monopoly and the exclusive right to exploit the invention. This article argues that they do not and then explores possible solutions to address the problems identified. Those solutions include streamlining the patent process, making it more difficult to patent software innovations, making it easier to invalidate software patents, and shortening the patent protection from 20 to 10 years. The article closes with a call to action for people to work collectively to effect change in the industry.",Ottawa,,Talent First Network,12/2011,2011,Technology Innovation Management Review,Software Patents: Current Challenges and Future Solutions,article,503,http://doi.org/10.22215/timreview/503,"innovation, patent system, software patents",18-22,1,,Goyal_TIMReview_December2011_1.pdf,True
504,https://timreview.ca/article/504,https://timreview.ca/sites/default/files/article_PDF/Henry_TIMReview_December2011_3.pdf,https://timreview.ca/article/export/bibtex/504,Daniel J. Henry,1927-0321,"Discussing the value of intellectual property (IP) has become a common theme in today\textquoterights mainstream press and is now central to the business strategy of a growing number of technology companies, both large and small, domestically and internationally. This focus on IP and intellectual property rights (IPR) is a trend that has developed over the last several years as a result of a convergence of factors including the growth of the patent monetization industry, ongoing reforms to U.S. patent law, the emergence of China and other countries in the Far East as technology-production hubs, and the advocacy of the “knowledge-centric” economy. In this article, we look at the monetization of patents and the emergence of a vibrant industry based on IPR as a new and highly prized asset class.",Ottawa,,Talent First Network,12/2011,2011,Technology Innovation Management Review,Intellectual Property Rights: Unlocking the Value of this New Asset Class,article,504,http://doi.org/10.22215/timreview/504,"asset class, intellectual property, intellectual property rights, patents",23-28,1,,Henry_TIMReview_December2011_3.pdf,True
505,https://timreview.ca/article/505,https://timreview.ca/sites/default/files/article_PDF/RaffoulBrion_TIMReview_December2011_0.pdf,https://timreview.ca/article/export/bibtex/505,Natalie Raffoul and Art Brion,1927-0321,"Many innovative small and medium enterprises (SMEs) do not seek patent protection for their innovations, either because they are skeptical about the perceived benefits or wary of the perceived costs. However, by failing to protect their intellectual property with patents, they leave themselves exposed to attack by other patent holders. This article explores arguments for patent protection as well as filing options that can protract the patenting process while simultaneously reducing patenting costs. By choosing their patent application filings wisely, SMEs can keep their patenting options open for as long as possible while delaying costs.",Ottawa,,Talent First Network,12/2011,2011,Technology Innovation Management Review,Reasons for Patent Protection and Cost-effective Patent Filing Options for SMEs,article,505,http://doi.org/10.22215/timreview/505,"innovation, intellectual property, patent cost, patent filing, patent protection",29-33,1,,RaffoulBrion_TIMReview_December2011_0.pdf,True
510,https://timreview.ca/article/510,https://timreview.ca/sites/default/files/article_PDF/LindmanRajala_TIMReview_January2012.pdf,https://timreview.ca/article/export/bibtex/510,Juho Lindman and Risto Rajala,1927-0321,"The emergence of F/LOSS (free/libre open source software) has triggered several changes in the software industry. F/LOSS has been cited as an archetypal form of open innovation; it consists of the convergence and collaboration of like-minded parties. An increasing number of software firms have taken upon this approach to link outsiders into their service development and product design. Also, software firms have been increasingly grounded their business models on user-centric and service-oriented operations.

This article describes a study that investigates these changes from the perspective of F/LOSS entrepreneurs. The findings are summarized into four issues that are critical in managing an F/LOSS business: i) dealing with organizational changes in the innovation process; ii) mastering user involvement; iii) successfully using resources; and iv) designing revenue models.",Ottawa,,Talent First Network,01/2012,2012,Technology Innovation Management Review,How Open Source Has Changed the Software Industry: Perspectives from Open Source Entrepreneurs,article,510,http://doi.org/10.22215/timreview/510,"entrepreneurship, narrative methodology, Open innovation, open source software, service-dominant logic",5-11,2,,LindmanRajala_TIMReview_January2012.pdf,True
511,https://timreview.ca/article/511,https://timreview.ca/sites/default/files/article_PDF/Nicholson_TIMReview_January2012_1.pdf,https://timreview.ca/article/export/bibtex/511,Deborah Nicholson,1927-0321,"This article explores how patents impact innovation within free/libre open source software (F/LOSS) businesses and projects. The number of software patent suits brought each year is increasing and is diverting millions of dollars in funds from developers to lawyers. With patent suits on the rise, the US Supreme Court has left the F/LOSS community in a position where it must either wait years for legislation or address the issue of patent suits itself. However, defending the Linux kernel and related technologies is a different challenge than the one that faces proprietary software businesses. This article describes Open Invention Network, an initiative that is designed to meet the particular challenges facing the F/LOSS community and businesses by providing a defensive patent pool.",Ottawa,,Talent First Network,01/2012,2012,Technology Innovation Management Review,Open Invention Network: A Defensive Patent Pool for Open Source Projects and Businesses,article,511,http://doi.org/10.22215/timreview/511,"innovation, linux, patent",12-17,2,,Nicholson_TIMReview_January2012_1.pdf,True
512,https://timreview.ca/article/512,https://timreview.ca/sites/default/files/article_PDF/Laffan_TIMReview_January2012.pdf,https://timreview.ca/article/export/bibtex/512,Liz Laffan,1927-0321,"Open source software is now ""business as usual"" in the mobile industry. While much attention is given to the importance of open source licenses, we argue in this article that the governance model can be as necessary to a project\textquoterights success and that projects vary widely in the governance models - whether open or closed - that they employ. Open source governance models describe the control points that are used to influence open source projects with regard to access to the source code, how the source code is developed, how derivatives are created, and the community structure of the project. Governance determines who has control over the project beyond what is deemed legally necessary via the open source licenses for that project. The purpose of our research is to define and measure the governance of open source projects, in other words, the extent to which decision-making in an open source project is ""open"" or ""closed"". We analyzed eight open source projects using 13 specific governance criteria across four areas of governance: access, development, derivatives and community.

Our findings suggest that the most open platforms will be most successful in the long term, however we acknowledge exceptions to this rule. We also identify best practices that are common across these open source projects with regard to source code access, development of source code, management of derivatives, and community structure. These best practices increase the likelihood of developer use of and involvement in open source projects.",Ottawa,,Talent First Network,01/2012,2012,Technology Innovation Management Review,A New Way of Measuring Openness: The Open Governance Index,article,512,http://doi.org/10.22215/timreview/512,"Android, governance, open source, open source licenses",18-24,2,,Laffan_TIMReview_January2012.pdf,True
513,https://timreview.ca/article/513,https://timreview.ca/sites/default/files/article_PDF/Suehle_TIMReview_January2012_0.pdf,https://timreview.ca/article/export/bibtex/513,Ruth Suehle,1927-0321,,Ottawa,,Talent First Network,01/2012,2012,Technology Innovation Management Review,Q&A. What Is the Secret of Red Hat\textquoterights Success?,article,513,http://doi.org/10.22215/timreview/513,"collaboration, community, innovation, open source, Red Hat",25-28,2,,Suehle_TIMReview_January2012_0.pdf,True
514,https://timreview.ca/article/514,https://timreview.ca/sites/default/files/article_PDF/Daffara_TIMReview_January2012_0.pdf,https://timreview.ca/article/export/bibtex/514,Carlo Daffara,1927-0321,,Ottawa,,Talent First Network,01/2012,2012,Technology Innovation Management Review,Q&A. What Are the Long-Term Effects of Open Source?,article,514,http://doi.org/10.22215/timreview/514,"code quality, collaboration, growth, open source, open standards",29-30,2,,Daffara_TIMReview_January2012_0.pdf,True
515,https://timreview.ca/article/515,https://timreview.ca/sites/default/files/article_PDF/Editorial_TIMReview_January2012.pdf,https://timreview.ca/article/export/bibtex/515,Chris McPhee and Leslie Hawthorn,1927-0321,,Ottawa,,Talent First Network,01/2012,2012,Technology Innovation Management Review,Editorial: Open Source Business (January 2012),article,515,http://doi.org/10.22215/timreview/515,open source business,3-4,2,,Editorial_TIMReview_January2012.pdf,True
519,https://timreview.ca/article/519,https://timreview.ca/sites/default/files/article_PDF/Editorial_TIMReview_February2012.pdf,https://timreview.ca/article/export/bibtex/519,Chris McPhee and Tony Bailetti,1927-0321,,Ottawa,,Talent First Network,02/2012,2012,Technology Innovation Management Review,Editorial: Technology Entrepreneurship (February 2012),article,519,http://doi.org/10.22215/timreview/519,"entrepreneur, entrepreneurship, technology entrepreneurship",3-4,2,,Editorial_TIMReview_February2012.pdf,True
520,https://timreview.ca/article/520,https://timreview.ca/sites/default/files/article_PDF/Bailetti_TIMReview_February2012.pdf,https://timreview.ca/article/export/bibtex/520,Tony Bailetti,1927-0321,"Technology entrepreneurship lies at the heart of many important debates, including those around launching and growing firms, regional economic development, selecting the appropriate stakeholders to take ideas to markets, and educating managers, engineers, and scientists. Unless a generally accepted definition of technology entrepreneurship is established, however, these debates lose their focus.

The purpose of this article is to identify the themes that dominate the technology entrepreneurship literature, provide a definition of technology entrepreneurship, and identify its distinguishing aspects relative to economics, entrepreneurship, and management. 

The author argues that technology entrepreneurship is an investment in a project that assembles and deploys specialized individuals and heterogeneous assets to create and capture value for the firm. What distinguishes technology entrepreneurship from other entrepreneurship types (e.g., social entrepreneurship, small business management, and self-employment) is the collaborative experimentation and production of new products, assets, and their attributes, which are intricately related to advances in scientific and technological knowledge and the firm\textquoterights asset ownership rights. ",Ottawa,,Talent First Network,02/2012,2012,Technology Innovation Management Review,"Technology Entrepreneurship: Overview, Definition, and Distinctive Aspects",article,520,http://doi.org/10.22215/timreview/520,"entrepreneurs, entrepreneurship, technology entrepreneurs, technology entrepreneurship",5-12,2,,Bailetti_TIMReview_February2012.pdf,True
521,https://timreview.ca/article/521,https://timreview.ca/sites/default/files/article_PDF/Hudson_TIMReview_February2012.pdf,https://timreview.ca/article/export/bibtex/521,David Hudson,1927-0321,"This article develops a link between the theory of the firm and entrepreneurship theory to enable the study of employee entrepreneurial behaviour. First, we describe how incomplete contracts permit employee entrepreneurial effort in the theory of the firm. Next, we argue that emancipation offers an explanation for entrepreneurial effort that is not motivated by financial gain. Finally, we show how new technology creates conditions where the boundary of the firm may change and where entrepreneurial effort by employees may occur.",Ottawa,,Talent First Network,02/2012,2012,Technology Innovation Management Review,Entrepreneurial Effort in the Theory of the Firm,article,521,http://doi.org/10.22215/timreview/521,"emancipation, employee, entrepreneurship, technology, theory of the firm",13-16,2,,Hudson_TIMReview_February2012.pdf,True
522,https://timreview.ca/article/522,https://timreview.ca/sites/default/files/article_PDF/SchreudersLegesse_TIMReview_February2012_0.pdf,https://timreview.ca/article/export/bibtex/522,John Schreuders and Alem Legesse,1927-0321,"Many technology entrepreneurs start their companies by focusing on an innovation that creates a market offer to attract their first customers. When the entrepreneur\textquoterights firm makes its first sale, the dynamics of the organization change and the entrepreneur faces a new challenge: how can the firm concurrently develop new products and support existing customers? This problem is of great concern to entrepreneurs who own small technology firms and is the subject of this article. 
In this article, we first address the innovate-versus-support dilemma that small technology firms face early in their lifecycles. Next, we describe the paradigm of the ambidextrous organization. We conclude with a discussion of five mechanisms small firms can use to achieve balance in their quest to concurrently satisfy the need to innovate while fulfilling the demands of existing clients and products. ",Ottawa,,Talent First Network,02/2012,2012,Technology Innovation Management Review,Organizational Ambidexterity: How Small Technology Firms Balance Innovation and Support,article,522,http://doi.org/10.22215/timreview/522,"ambidextrous organization, entrepreneurship, innovation, support",17-21,2,,SchreudersLegesse_TIMReview_February2012_0.pdf,True
523,https://timreview.ca/article/523,https://timreview.ca/sites/default/files/article_PDF/Saifan_TIMReview_February2012_2.pdf,https://timreview.ca/article/export/bibtex/523,Samer Abu-Saifan,1927-0321,"While individuals may be publicly recognized as social entrepreneurs for their contributions to improve the welfare of communities, the field of social entrepreneurship continues to struggle to gain academic legitimacy. Social entrepreneurship is a term in search of a good definition. The current use of the term seems vague and limitless; it needs boundaries to demarcate its function. The lack of a common definition hinders research and raises questions about which social or profit-making activities fall within the spectrum of social entrepreneurship. To become an important stream in the entrepreneurship literature, social entrepreneurship needs to be properly defined and it requires a theoretical framework that links it to the theory of entrepreneurship. This article builds on the literature to define social entrepreneurship, discusses the boundaries of socially-oriented entrepreneurial activities, and positions the social entrepreneur in the spectrum of entrepreneurship. ",Ottawa,,Talent First Network,02/2012,2012,Technology Innovation Management Review,Social Entrepreneurship: Definition and Boundaries,article,523,http://doi.org/10.22215/timreview/523,"social enterprise, social entrepreneur, social entrepreneurship",22-27,2,,Saifan_TIMReview_February2012_2.pdf,True
524,https://timreview.ca/article/524,https://timreview.ca/sites/default/files/article_PDF/Zhou_TIMReview_February2012.pdf,https://timreview.ca/article/export/bibtex/524,Daniel Zhou,1927-0321,"China may be on the tipping point of explosive global growth. In response to changes in the global economy and an economic slowdown domestically, hundreds of thousands of Chinese SMEs are being encouraged to “go global” by their central and local governments. To a Chinese company, going global requires the expansion of its existing business in other countries or the development of new ventures with partners operating in other countries. Explosive growth in China may be possible, but it will depend on an appropriate strategy for going global. 

For a country that has firmly established itself as an international manufacturing hub, going global requires a shift in its entrepreneurial capacity, which is the focus of this article. We first assess the current situation in China to understand its current entrepreneurial focus and capacity, as well as the impetus for change. Next, we contrast the Kirznerian and Schumpeterian views of entrepreneurship to illustrate that – to go global – Chinese entrepreneurs must shift from an emphasis on exploiting pricing inefficiencies (i.e., Kirznerian entrepreneurship) to an emphasis on innovation (i.e., Schumpeterian entrepreneurship). Finally, we examine unique characteristics of the business environment and culture in China, which are likely to impact the ability of Chinese entrepreneurs to go global. ",Ottawa,,Talent First Network,02/2012,2012,Technology Innovation Management Review,Chinese Entrepreneurs Go Global,article,524,http://doi.org/10.22215/timreview/524,"China, entrepreneurship, familism, go global, guanxi, Kirzner, Schumpeter",28-31,2,,Zhou_TIMReview_February2012.pdf,True
525,https://timreview.ca/article/525,https://timreview.ca/sites/default/files/article_PDF/Shanker_TIMReview_February2012.pdf,https://timreview.ca/article/export/bibtex/525,Aparna Shanker,1927-0321,,Ottawa,,Talent First Network,02/2012,2012,Technology Innovation Management Review,Q&A. What Is Customer Value and How Do You Deliver It?,article,525,http://doi.org/10.22215/timreview/525,"customer feedback, customer value, market orientation, value proposition",32-33,2,,Shanker_TIMReview_February2012.pdf,True
531,https://timreview.ca/article/531,https://timreview.ca/sites/default/files/article_PDF/Editorial_TIMReview_March2012.pdf,https://timreview.ca/article/export/bibtex/531,Chris McPhee and Tony Bailetti,1927-0321,,Ottawa,,Talent First Network,03/2012,2012,Technology Innovation Management Review,Editorial: Technology Entrepreneurship (March 2012),article,531,http://doi.org/10.22215/timreview/531,technology entrepreneurship,3-4,2,,Editorial_TIMReview_March2012.pdf,True
532,https://timreview.ca/article/532,https://timreview.ca/sites/default/files/article_PDF/Tanev_TIMReview_March2012_0.pdf,https://timreview.ca/article/export/bibtex/532,Stoyan Tanev,1927-0321,"This article provides insights from recent research on firms that are ""born global"". A born-global firm is a venture launched to exploit a global niche from the first day of its operations. The insights in this article are relevant to technology entrepreneurs and top management teams of new technology firms. After discussing various definitions for the term ""born global"" and identifying the main characteristics of born-global firms, this article lists a few salient characteristics of firms that are born global in the technology sector. The article concludes by identifying opportunities for future research.",Ottawa,,Talent First Network,03/2012,2012,Technology Innovation Management Review,Global from the Start: The Characteristics of Born-Global Firms in the Technology Sector,article,532,http://doi.org/10.22215/timreview/532,"born global, international business, technology entrepreneurship",5-8,2,,Tanev_TIMReview_March2012_0.pdf,True
