number,url,pdf_url,bibtex_url,author,issn,abstract,address,type,publisher,month,year,journal,title,entrytype,id,doi,keywords,pages,volume,chapter
65,http://timreview.ca/article/65,,https://timreview.ca/article/export/bibtex/65,Stormy Peters,1913-6102,"Studies show that most open source projects are licensed under the General Public License (GPL) and it is estimated that over 75% of open source projects are licensed under either the GPL or the LGPL (Lesser GPL). Yet, it has been my company\textquoterights experience that the open source software used by our enterprise customers is primarily Apache licensed software. This article examines several factors which may shed some light on this disparity, including the issues raised by enterprise customers and the software product selection process used by OpenLogic (http://www.openlogic.com).",Ottawa,Articles,Talent First Network,10/2007,2007,Open Source Business Resource,Open Source Licensing in the Enterprise,article,65,,,,,
66,http://timreview.ca/article/66,,https://timreview.ca/article/export/bibtex/66,Kamal Hassin,1913-6102,"The way we develop software is continuously evolving: the everyday processes and practices used to produce software are becoming more efficient, and it is common for a team of developers to change several times over the life of a software project and for the components used to come from a variety of sources. However, the benefits of these changes cannot be fully appreciated unless correct policies and strategies are used to capture value from innovation. This is where the worlds of technology and Intellectual Property (IP) law collide and where license compliance is fundamental in protecting a company\textquoterights IP and avoiding legal conflicts.",Ottawa,Articles,Talent First Network,10/2007,2007,Open Source Business Resource,Open Source on Trial,article,66,,,,,
67,http://timreview.ca/article/67,,https://timreview.ca/article/export/bibtex/67,Bruce Montague,1913-6102,"There are many reasons, not all necessarily altruistic, for the popularity of Open Source Software (OSS). This article provides an overview of software and licensing, and suggests usage examples for two well-known open source licenses: the GPL and BSD license. This article does not discuss recent GPLv3 developments and reflects my own experiences, not necessarily those of my employer. ",Ottawa,Articles,Talent First Network,10/2007,2007,Open Source Business Resource,Comparing the BSD and GPL Licenses,article,67,,,,,
68,http://timreview.ca/article/68,,https://timreview.ca/article/export/bibtex/68,Kelly Rankin and Ronald Baecker,1913-6102,"On June 8th, 2005, we officially launched the ePresence (http://epresence.tv/) Interactive Media Open Source Consortium, at the Knowledge Media Design Institute (KMDI), University of Toronto (UofT). We had been researching and developing ePresence, our webcasting, webconferencing, and archiving software project for about five years. Throughout the early phase of the project we used the system to produce live webcasts of KMDI\textquoterights annual lecture series. Eventually word spread about our webcasting system and other universities, such as Memorial University in Newfoundland, became interested. It was obvious that the time to share our project with the world had come, but what wasn\textquoterightt obvious to us at the time was how we were going to do that.",Ottawa,Articles,Talent First Network,10/2007,2007,Open Source Business Resource,Evolution of an Open Source Strategy,article,68,,,,,
69,http://timreview.ca/article/69,,https://timreview.ca/article/export/bibtex/69,Amos Hayes,1913-6102,"Open source provides an avenue for distributing academic research well beyond the covers of journals or the lunchtime chatter of sharp-minded thinkers to a much broader audience. Interestingly, the choice of open source license is often a choice of community. By understanding the goals and underlying philosophy of a research project, one is better equipped to find a suitable license and attract a community with similar interests. 

This article provides an examination of a particular academic research project\textquoterights licensing goals and presents some of the lessons learned during the license selection process.",Ottawa,Articles,Talent First Network,10/2007,2007,Open Source Business Resource,"Free as in Adjective, Not as in Verb",article,69,,,,,
70,http://timreview.ca/article/70,,https://timreview.ca/article/export/bibtex/70,Ian Graham,1913-6102,"I\textquoterightve read that commercialization has both a supply and a demand side. What effect do these two sides have on open source commercialization, specifically in Canada?",Ottawa,Q and A,Talent First Network,10/2007,2007,Open Source Business Resource,Q&A. What effect do supply and a demand have on open source commercialization?,article,70,,,,,
73,http://timreview.ca/article/73,,https://timreview.ca/article/export/bibtex/73,Dru Lavigne,1913-6102,"In his book Foresight and Understanding:  An Inquiry into the Aims of Science, Stephen Toulmin wrote ""Definitions are like belts. The shorter they are, the more elastic they need to be. A short belt reveals nothing about its wearer: by stretching, it can be made to fit almost anybody.""

Keep in mind the nature of elasticity while reading through this issue of the OSBR. The theme this month is ""Defining Open Source""; however, you\textquoterightll find that the articles build upon and extend both the Open Source Definition and the Free Software Definition. This stretching in order to fit almost anybody is bound to make the open source purist uncomfortable; it is our intent to provoke thought and we look forward to receiving and publishing reader feedback.",Ottawa,Editorial,Talent First Network,09/2007,2007,Open Source Business Resource,Editorial: Defining Open Source (September 2007),article,73,,,,,
74,http://timreview.ca/article/74,,https://timreview.ca/article/export/bibtex/74,Russ Nelson,1913-6102,"The Open Source Initiative and the Free Software Foundation  share a common goal: that everyone should be free to modify and redistribute the software they commonly use. \textquoterightShould\textquoteright is of course a normative word. For the FSF, \textquoterightshould\textquoteright is a moral imperative. Anything else is an immoral restriction on people\textquoterights activities, just as are restrictions on speech, press, movement, and religion. For the OSI, freedom is a necessary precondition for a world where ""software doesn\textquoterightt suck"", in the words of a founder of the OSI.

The FSF started from its founder\textquoterights GNU Manifesto widely published in 1985. Given the manifesto\textquoterights hostility to copyright, and given the failure of the Free Software Foundation to gain any traction amongst commercial users of software even with a 13-year head start, a group of people gathered together in 1998 to talk about a new strategy to get the corporate world to listen to hackers. They were impressed by Eric Raymond\textquoterights Cathedral and the Bazaar\textquoterights take-up among business leaders.",Ottawa,Articles,Talent First Network,09/2007,2007,Open Source Business Resource,Defining Open Source,article,74,,,,,
75,http://timreview.ca/article/75,,https://timreview.ca/article/export/bibtex/75,Tony Bailetti and Peter Hoddinott,1913-6102,"The Open Source Definition or OSD defines the criteria to which the distribution terms of software must comply for it to be deemed to be open source software.  The term open source, however, is used to label a broad assortment of phenomena that fall well outside the established OSD. In addition, there is ambiguity in what is meant to be covered by the terms source and open.  

We envisage a definition of open source that equally applies to software, hardware schematics, content, and processes, not just software.",Ottawa,Articles,Talent First Network,09/2007,2007,Open Source Business Resource,Open Source Assets,article,75,,,,,
76,http://timreview.ca/article/76,,https://timreview.ca/article/export/bibtex/76,Patrick McNamara,1913-6102,"I have been involved in a number of debates on what exactly constitutes open hardware. While the definition is a bit harder to pin down than that of open source software, I believe hardware can be loosely placed into four categories of openness. They are, in order of least to most open: Closed, Open Interface, Open Design, and Open Implementation.",Ottawa,Articles,Talent First Network,09/2007,2007,Open Source Business Resource,Open Hardware,article,76,,,,,
77,http://timreview.ca/article/77,,https://timreview.ca/article/export/bibtex/77,Monica Mora,1913-6102,"This article first introduces open content and open educational resources (OER), then compares OER and open source software (OSS), and finally discusses issues of OER project sustainability.",Ottawa,Articles,Talent First Network,09/2007,2007,Open Source Business Resource,Open Educational Resources,article,77,,,,,
78,http://timreview.ca/article/78,,https://timreview.ca/article/export/bibtex/78,Nelson Ko,1913-6102,"What does it really mean to participate in an open source software community? If a company\textquoterights open source strategy is limited to acting as end user of open source software, is there a business need to understand the nature of open source communities? Should it be the goal of all businesses to become an active participant in open source communities, or become recognized as a significant contributor?

Business users of open source software can broadly be divided into those who use open source software as end-users, and those who incorporate underlying open source technology into their products and services. This article will first address both these groups with the important facets of understanding and evaluating community in the selection of open source software, and then elaborate on the role of active participation in open source communities to enhance the value that can be obtained from the use of open source. It is based upon lessons I\textquoterightve learned from becoming progressively involved in a particular open source software community, Tikiwiki, and comparisons with other open source communities which I\textquoterightve made to identify commonalities and differences.",Ottawa,Articles,Talent First Network,09/2007,2007,Open Source Business Resource,Open Source as Community,article,78,,,,,
79,http://timreview.ca/article/79,,https://timreview.ca/article/export/bibtex/79,Christian Meloche and Luc Lalande,1913-6102,What is the state of open source in public administration?,Ottawa,Q and A,Talent First Network,09/2007,2007,Open Source Business Resource,Q&A. What is the state of open source in public administration?,article,79,,,,,
81,http://timreview.ca/article/81,,https://timreview.ca/article/export/bibtex/81,Dru Lavigne,1913-6102," At the close of the 20th century, Tim O\textquoterightReilly wrote The Ten Myths About Open Source Software:

Do any of these still sound familiar?

1. It\textquoterights all about Linux versus Windows
2. Open source software isn\textquoterightt reliable or supported
3. Big companies don\textquoterightt use open source software
4. Open source is hostile to intellectual property
5. Open source is all about licenses
6. If I give away my software to the open source community, thousands of developers will suddenly start working for me for nothing
7. Open source only matters to programmers; most users never look under the hood anyway
8. There\textquoterights no money to be made on free software
9. The open source movement isn\textquoterightt sustainable; people will stop developing free software once they see others making lots of money from their efforts
10. Open source is playing catch up to Microsoft and the commercial world",Ottawa,Editorial,Talent First Network,08/2007,2007,Open Source Business Resource,Editorial: Business Models (August 2007),article,81,,,,,
82,http://timreview.ca/article/82,,https://timreview.ca/article/export/bibtex/82,Peter Liu,1913-6102,"Little is known about companies whose core business is selling telecommunications products that lever open source projects. Open source telecommunications (OST) companies operate in markets that are very different from typical software product markets. The telecommunications market is regulated, vertically integrated, and proprietary designs and special chips are widely used. For a telecommunications product to be useful, it must interact with both access network products and core network products. Due to specifications in Service Agreements Levels, penalties for failures of telecommunications products are very high.

This article shares information that is not widely known, including a list of OST companies and the open source projects on which they depend, the size and diversity of venture capital investment in OST companies, the nature of the commercial product-open source software and company-project relationships, ways in which OST companies make money, benefits and risks of OST companies, and competition between OST companies. Analysis of this information provides insights into the ways in which companies can build business models around open source software. These findings will be of interest to entrepreneurs, top management teams of incumbent companies that sell telecommunications products, and those who care about Ontario\textquoterights ability to compete globally. ",Ottawa,Articles,Talent First Network,08/2007,2007,Open Source Business Resource,Open Source Telecommunication Companies,article,82,,,,,
83,http://timreview.ca/article/83,,https://timreview.ca/article/export/bibtex/83,Dave McIlhagga,1913-6102,"In this time of excitement over the emergence of mapping technologies like Google Earth, Personal Navigation Devices, GPS technologies for tracking vehicles, and so much more, a little known phenomenon has also been taking place: the explosive growth of open source mapping technologies.

Leading the way in this area is DM Solutions Group (DMSG) - a small company based in Ottawa, Canada who is working closely with customers and partners from around the world to incorporate mapping into their web environments.

Web Mapping is a highly specialized niche market that can be applied to almost every conceivable industry. It is this peculiar combination that is at the heart of why the open source software development approach has been so successful in this area. ",Ottawa,Articles,Talent First Network,08/2007,2007,Open Source Business Resource,Putting Maps on the Web with Open Source Technologies,article,83,,,,,
84,http://timreview.ca/article/84,,https://timreview.ca/article/export/bibtex/84,Bill White,1913-6102,"Roaring Penguin Software Inc. started as a one-person consulting company in 1999. A year later, David F. Skoll, the company\textquoterights President and CTO, was asked to develop an e-mail filtering tool. David developed MIMEDefang, an e-mail filter that used Sendmail\textquoterights Milter facilities. David donated the code to the open source community, and kept developing MIMEDefang as a free tool for system administrators. Today, the MIMEDefang code is available at at the  website.

By 2002, it was obvious that there was a need for a packaged mail-filtering solution suitable for end-users. David decided to go ahead and write what became CanIt-PRO. Whereas MIMEDefang is suited to system administrators who are familiar with Perl and comfortable with writing their filtering policies in Perl, the CanIt product line allows end-users to control their filtering through a simple web-based interface.

The company transformed itself from a consulting company to a product development company. This transformation required significant changes. ",Ottawa,Articles,Talent First Network,08/2007,2007,Open Source Business Resource,Building an Open Source Company One Penguin at a Time,article,84,,,,,
85,http://timreview.ca/article/85,,https://timreview.ca/article/export/bibtex/85,Rowland Few,1913-6102,"Many companies, individuals and organizations in Ontario produce and use open source assets and processes to provide unique value to their customers, clients, and themselves. To better enable these companies, individuals and organizations to (i) co-evolve capabilities and roles, (ii) align themselves with companies holding leadership roles, and (iii) invest in shared visions, the Talent First Network (TFN) has become the keystone organization of Ontario\textquoterights open source ecosystem. This article introduces the TFN and identifies the steps it is taking to better support the Ontario Open Source Ecosystem. ",Ottawa,Articles,Talent First Network,08/2007,2007,Open Source Business Resource,Keystone Organization for Ontario\textquoterights Open Source Ecosystem,article,85,,,,,
86,http://timreview.ca/article/86,,https://timreview.ca/article/export/bibtex/86,Tammy Yuan,1913-6102,"The telecommunications industry is moving away from building communications and data service networks using proprietary platforms of specialized hardware, closed interfaces, and proprietary technologies. Increasingly, the industry is assembling new networks on open platforms comprised of both commercial-off-the-shelf (COTS) software and open source components. Carrier Grade Linux (CGL) stands at the center of the move to open architectures.

This article addresses three questions. 1) What motivates companies to incorporate CGL specifications into their products? 2) How do companies adopting CGL create and appropriate value? 3) What roles do these companies play in the ecosystem anchored around the CGL Working Group initiative? These questions are of interest to top management teams facing pivotal decisions of whether or not to incorporate open platforms into their products, and how to compete in a world where those same platforms are available to competitors.",Ottawa,Articles,Talent First Network,08/2007,2007,Open Source Business Resource,Company Interactions with Open Platforms,article,86,,,,,
87,http://timreview.ca/article/87,,https://timreview.ca/article/export/bibtex/87,Ervin Ruci,1913-6102,"This article provides an example of how a graduate student in Ontario used open source software and freely available data to solve a technical dilemma, start and grow a business, and provide services which benefit many. It also illustrates how easily new features and customizations can be developed when an API is made available to its users. ",Ottawa,Articles,Talent First Network,08/2007,2007,Open Source Business Resource,Adding Value to Information Systems Using Free Data,article,87,,,,,
89,http://timreview.ca/article/89,,https://timreview.ca/article/export/bibtex/89,Peter Hoddinott,1913-6102,How can one develop a business model around open source if the resource is freely available?,Ottawa,Q and A,Talent First Network,07/2007,2007,Open Source Business Resource,Q&A. How one can develop a business model around open source?,article,89,,,,,
92,http://timreview.ca/article/92,,https://timreview.ca/article/export/bibtex/92,Dru Lavigne,1913-6102,Welcome from the Editor.,Ottawa,Editorial,Talent First Network,07/2007,2007,Open Source Business Resource,Editorial: Introducing the OSBR (July 2007),article,92,,,,,
93,http://timreview.ca/article/93,,https://timreview.ca/article/export/bibtex/93,Peter Carbone,1913-6102,Peter Carbone describes insights gained from a joint industry-university research project.,Ottawa,Articles,Talent First Network,07/2007,2007,Open Source Business Resource,Competitive Open Source,article,93,,,,,
94,http://timreview.ca/article/94,,https://timreview.ca/article/export/bibtex/94,Donald Smith and Mike Milinkovich,1913-6102,Donald Smith and Mike Milinkovich examine the factors that grew the Eclipse community into a thriving ecosystem.,Ottawa,Articles,Talent First Network,07/2007,2007,Open Source Business Resource,Eclipse: A Premier Open Source Community,article,94,,,,,
95,http://timreview.ca/article/95,,https://timreview.ca/article/export/bibtex/95,Tony Bailetti,1913-6102,Tonay Bailetti explains the goals and progress of the Talent First Network Program.,Ottawa,Articles,Talent First Network,07/2007,2007,Open Source Business Resource,TFN: Open Source and Innovation,article,95,,,,,
96,http://timreview.ca/article/96,,https://timreview.ca/article/export/bibtex/96,Brad DeFoe and Dmitri Prokopiev,1913-6102,Brad DeFoe and Dmitri Prokopiev describe the Ontario Research Commercialization Program.,Ottawa,Articles,Talent First Network,07/2007,2007,Open Source Business Resource,Ontario Research Commercialization Program,article,96,,,,,
97,http://timreview.ca/article/97,,https://timreview.ca/article/export/bibtex/97,G.R. Gangadharan,1913-6102,G.R. Gangadharan discusses the many dimensions of software.,Ottawa,Articles,Talent First Network,07/2007,2007,Open Source Business Resource,Software Licensing,article,97,,,,,
98,http://timreview.ca/article/98,,https://timreview.ca/article/export/bibtex/98,Peter Hoddinott and Richard Alam,1913-6102,Corporate Directory Platform and the Ottawa Tech Community described.,Ottawa,Lead Projects,Talent First Network,07/2007,2007,Open Source Business Resource,Lead Projects,article,98,,,,,
101,http://timreview.ca/article/101,,https://timreview.ca/article/export/bibtex/101,Dru Lavigne,1913-6102,"As 2007 draws to a close, three emerging trends are gaining momentum. The first is that companies are releasing formerly proprietary code under an open source license. The second is that open source companies are being acquired or are issuing public offerings. The third trend is that very large number of citizens increasingly uses the Internet to oppose politicians and law makers who threaten, sometimes unwittingly, the fundamental principles of open source development.   

These three trends tie into this month\textquoterights editorial theme: Clean intellectual property or clean IP. In a nutshell, clean IP is about reducing license incompatibilities and non-compliance with licensing terms. Clean IP significantly affects the value of the code released as open source and the value of a company that develops and markets software.  ",Ottawa,Editorial,Talent First Network,12/2007,2007,Open Source Business Resource,Editorial: Clean Intellectual Property (December 2007),article,101,,,,,
102,http://timreview.ca/article/102,,https://timreview.ca/article/export/bibtex/102,Doug Levin,1913-6102,"Over the past ten years, the Internet and open source software (OSS) have enabled developers to fundamentally change the way they produce software.  Increasingly, distributed teams are collaborating to assemble software from reusable components and their own proprietary code rather than building applications entirely from scratch. 

The component-based development model is fundamentally changing the software industry. It enables organizations that develop software, either for commercial sale or for in-house use, to accelerate project timelines, improve software quality, and reduce development costs. If not managed properly, the complexity inherent in this new world of mixed-IP (Intellectual Property) can pose business and technical risks to an organization. 

This paper draws on the experiences of the Black Duck Software team, our customers, and other industry experts to propose new approaches to managing IP in this new world. It describes a set of best practices that companies can use to avoid the risks and gain the benefits of the component-based approach to software development.",Ottawa,Articles,Talent First Network,12/2007,2007,Open Source Business Resource,Improving Application Development by Managing Licensing Issues,article,102,,,,,
103,http://timreview.ca/article/103,,https://timreview.ca/article/export/bibtex/103,Richard Mayer and Mahshad Koohgoli,1913-6102,"At many points in the life of a software enterprise, determination of intellectual property (IP) cleanliness becomes critical. The value of an enterprise that develops and sells software may depend on how clean the software is from the IP perspective. This article examines various methods of ensuring software IP cleanliness and discusses some of the benefits and shortcomings of current solutions.",Ottawa,Articles,Talent First Network,12/2007,2007,Open Source Business Resource,Ensuring Software IP Cleanliness,article,103,,,,,
104,http://timreview.ca/article/104,,https://timreview.ca/article/export/bibtex/104,Andy Kaplan-Myrth,1913-6102,"In the Canadian copyright reform arena, the events of early December, 2007 changed everything.

In late November, it was widely anticipated that new copyright legislation would be introduced in the model of the controversial American Digital Millennium Copyright Act (DMCA). The bill was rumored to include harsh anti-circumvention laws, which grant software distributors the right to seek legal remedies for circumvention of technological locks on content. In response, veteran Canadian copyright advocates issued an appeal to Canadians to take an interest in the bill and to call for fair and balanced copyright. 

Canadian citizens answered that call in unexpected numbers, both online and offline. A Facebook group, called Fair Copyright for Canadians, grew to over 25,000 members within two weeks, and provided grassroots advocacy tools to citizens. A new website, called CopyrightforCanadians.ca, established itself as a centre for news on the bill and consumer advocacy. Using these tools, Canadians wrote letters, met with politicians, and demanded balance.  With their words and their actions, not only did Canadians delay the introduction of the bill until next year, but they put copyright in the spotlight and showed legislators that fair and balanced copyright can capture the public imagination.",Ottawa,Articles,Talent First Network,12/2007,2007,Open Source Business Resource,A Rallying Moment for Canadian Open Source Software,article,104,,,,,
105,http://timreview.ca/article/105,,https://timreview.ca/article/export/bibtex/105,G.R. Gangadharan and Michael Weiss,1913-6102,"The objective of this article is to: i) extend the discussion of licensing to non-software assets and ii) provide an introduction to rights expression languages (RELs). Licensing is not limited to software. We can associate a license with any kind of asset that holds intellectual value, and can thus be turned into a source of revenue. Here, our interest is on information assets, which include software and software components, but also services, processes, and content. For instance, a song that a user downloads from iTunes is an information asset. So is a web service such as the Google Maps API (application programming interface).",Ottawa,Articles,Talent First Network,12/2007,2007,Open Source Business Resource,An Introduction to Rights Expression Languages,article,105,,,,,
106,http://timreview.ca/article/106,,https://timreview.ca/article/export/bibtex/106,Eric Smith,1913-6102,"On June 29, 2007, the Free Software Foundation (FSF) issued the GNU General Public License Version 3. The issuance of GPLv3 marked the end of a remarkable public consultation process aimed at revamping the license to address issues that the FSF considers to be a threat to the Free Software movement, and to clarify issues that have been misunderstood or debated since the publications of GPL Version 2 (GPLv2). 

This article introduces the rationale for changing the GPL and introduces the changes that affect patents, Digital Rights Management (DRM), license compatibility, and the linking issue.",Ottawa,Articles,Talent First Network,12/2007,2007,Open Source Business Resource,Key Changes to the GNU General Public License,article,106,,,,,
107,http://timreview.ca/article/107,,https://timreview.ca/article/export/bibtex/107,Russell McOrmond,1913-6102,"New copyright legislation is on its way from the Canadian government, and may have been tabled by the time you are reading this. While we won\textquoterightt know exactly what is in the bill until it is tabled in the House of Commons for first reading, the Government has made many statements indicating that it intends to ratify the highly controversial 1996 WIPO treaties. I believe it is important for open source developers and users to be aware of how some of the proposed changes may affect open source in Canada.",Ottawa,Articles,Talent First Network,12/2007,2007,Open Source Business Resource,Protecting Information Technology Property Rights,article,107,,,,,
111,http://timreview.ca/article/111,,https://timreview.ca/article/export/bibtex/111,Dru Lavigne,1913-6102,"In December, the Open Solutions Alliance published CEO Predictions 2008 which contains the responses received from their 2007 Customer Forum Series. A key finding was that the interoperability of open source with other open source and proprietary solutions was a primary concern. Several of the CEOs polled included interoperability in their answer to the question ""what is the biggest challenge for the open source software industry in 2008?"".",Ottawa,Editorial,Talent First Network,01/2008,2008,Open Source Business Resource,Editorial: Interoperability (January 2008),article,111,,,,,
